"Q1 - If you were to look for a new job, what would be the most important factors for you?","Reputation of the organization","78%","82%","79%","86%","72%","70%","61%","82%","89%","88%","80%","77%","79%","79%","78%","75%","78%","78%","79%","77%","74%","80%","76%","70%","71%","75%","77%","78%","80%","79%","77%","65%","71%","78%","78%","84%","80%","77%","80%","73%","81%","73%","80%","76%","73%","72%","78%","84%","70%","77%","78%","78%","79%","79%","73%","78%","71%","73%","81%","86%","82%","77%","78%","74%","75%","74%","81%","76%","70%","76%","72%","74%","79%","82%","82%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Career advancement","78%","78%","74%","89%","80%","70%","51%","85%","93%","91%","77%","81%","84%","82%","76%","61%","54%","83%","83%","73%","57%","78%","78%","67%","74%","73%","77%","79%","79%","80%","68%","65%","69%","76%","79%","87%","82%","80%","75%","81%","79%","79%","79%","77%","81%","66%","84%","81%","76%","75%","71%","72%","80%","77%","70%","80%","73%","71%","79%","87%","84%","81%","81%","69%","75%","78%","81%","67%","63%","74%","73%","70%","79%","85%","82%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Commute to office","78%","80%","80%","77%","84%","80%","64%","69%","76%","71%","79%","72%","77%","79%","80%","78%","77%","73%","78%","79%","77%","82%","75%","71%","75%","74%","76%","78%","80%","78%","78%","61%","67%","76%","78%","78%","75%","77%","80%","75%","78%","81%","81%","77%","71%","83%","79%","77%","80%","79%","76%","77%","73%","79%","76%","79%","76%","76%","75%","79%","76%","77%","77%","79%","76%","78%","79%","79%","72%","78%","76%","78%","77%","80%","79%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Learning and development opportunities","78%","79%","76%","89%","73%","72%","50%","85%","93%","89%","78%","76%","84%","81%","74%","65%","65%","80%","82%","73%","63%","79%","77%","68%","71%","73%","75%","79%","79%","79%","71%","70%","72%","75%","81%","86%","79%","80%","77%","78%","79%","76%","79%","76%","75%","73%","82%","82%","81%","77%","72%","72%","80%","78%","68%","79%","74%","71%","80%","85%","84%","79%","79%","71%","74%","77%","81%","69%","66%","73%","71%","73%","79%","83%","81%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Colleagues I work with","77%","75%","79%","76%","78%","81%","72%","75%","70%","77%","80%","72%","75%","79%","79%","77%","77%","73%","77%","79%","77%","79%","76%","70%","72%","74%","76%","77%","79%","78%","76%","64%","68%","79%","73%","79%","78%","76%","81%","77%","77%","77%","81%","78%","70%","85%","75%","67%","73%","76%","75%","77%","75%","73%","75%","75%","74%","74%","76%","79%","77%","77%","77%","76%","75%","76%","79%","75%","73%","75%","73%","78%","77%","79%","77%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Organizational culture and values","75%","77%","75%","82%","67%","67%","58%","81%","84%","81%","80%","72%","77%","77%","74%","67%","69%","74%","77%","73%","65%","77%","73%","67%","67%","71%","75%","75%","76%","75%","72%","67%","67%","73%","76%","82%","77%","76%","80%","76%","77%","72%","76%","71%","74%","82%","84%","70%","84%","71%","74%","72%","74%","75%","65%","74%","65%","66%","77%","83%","80%","75%","76%","68%","71%","71%","78%","68%","67%","69%","69%","68%","77%","80%","79%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Hiring manager I trust","75%","80%","75%","79%","65%","80%","55%","73%","74%","76%","78%","74%","76%","77%","73%","70%","72%","74%","77%","73%","69%","77%","73%","68%","69%","72%","74%","77%","75%","75%","75%","64%","65%","75%","73%","80%","76%","77%","75%","72%","74%","71%","76%","74%","70%","77%","70%","68%","72%","71%","72%","77%","76%","72%","70%","78%","67%","71%","78%","80%","79%","74%","75%","71%","72%","73%","77%","71%","70%","74%","68%","78%","73%","76%","76%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Workplace policy (i.e. in office, from home, hybrid)","73%","75%","75%","82%","69%","68%","56%","73%","78%","80%","75%","71%","75%","76%","73%","65%","66%","72%","76%","71%","64%","76%","71%","67%","64%","69%","70%","76%","75%","74%","68%","62%","71%","67%","78%","82%","74%","74%","72%","71%","79%","76%","70%","70%","73%","69%","85%","70%","82%","77%","67%","66%","77%","80%","67%","67%","62%","69%","76%","81%","77%","74%","75%","67%","71%","70%","76%","69%","58%","68%","68%","66%","75%","79%","77%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Organizational purpose and mission","71%","75%","70%","82%","70%","59%","56%","79%","80%","80%","70%","69%","73%","74%","70%","65%","68%","71%","74%","69%","65%","71%","71%","65%","65%","70%","71%","73%","71%","72%","66%","61%","66%","71%","70%","81%","76%","72%","74%","72%","73%","68%","72%","71%","72%","73%","71%","70%","68%","66%","67%","64%","74%","71%","63%","68%","61%","64%","78%","82%","79%","71%","73%","62%","67%","67%","75%","65%","59%","67%","65%","63%","73%","78%","77%",""
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Inclusive policies and practices","66%","70%","69%","79%","57%","51%","40%","70%","78%","69%","74%","70%","71%","69%","62%","54%","56%","70%","70%","61%","53%","69%","63%","61%","56%","67%","67%","68%","66%","66%","66%","59%","63%","64%","69%","76%","65%","72%","68%","62%","68%","58%","67%","61%","71%","72%","66%","67%","68%","62%","57%","66%","66%","68%","56%","64%","58%","61%","73%","78%","73%","64%","68%","58%","64%","61%","69%","58%","62%","65%","59%","58%","67%","72%","70%",""
