Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       ***[Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace?]***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP 2 BOX [NET],28%,28%,27%,45%,19%,21%,10%,42%,34%,39%,25%,27%,32%,31%,25%,16%,16%,29%,32%,23%,16%,24%,31%,13%,18%,25%,28%,32%,27%,29%,19%,25%,21%,30%,27%,45%,30%,27%,25%,29%,34%,23%,21%,24%,40%,11%,15%,25%,27%,20%,24%,20%,23%,36%,22%,19%,17%,24%,39%,46%,32%,28%,31%,16%,23%,18%,34%,16%,17%,19%,20%,20%,30%,36%,37%
  (5) Far too committed,12%,12%,12%,21%,6%,7%,2%,19%,22%,18%,12%,10%,14%,14%,11%,7%,5%,11%,15%,10%,7%,11%,14%,3%,5%,10%,12%,15%,12%,13%,7%,8%,9%,14%,13%,23%,12%,17%,12%,13%,14%,10%,9%,10%,18%,6%,4%,7%,14%,7%,12%,7%,10%,15%,8%,6%,5%,11%,20%,24%,15%,11%,14%,6%,9%,5%,16%,6%,5%,8%,8%,7%,13%,17%,20%
  (4) Slightly too committed,15%,16%,15%,23%,13%,14%,8%,23%,12%,21%,13%,18%,18%,17%,14%,10%,10%,17%,17%,13%,9%,13%,17%,10%,12%,15%,17%,17%,15%,16%,12%,17%,13%,15%,14%,22%,18%,10%,13%,16%,20%,13%,12%,14%,22%,5%,11%,18%,14%,13%,12%,12%,13%,20%,14%,13%,12%,13%,19%,21%,18%,17%,17%,10%,14%,12%,17%,10%,12%,11%,12%,13%,17%,19%,17%
(3) Just the right commitment,48%,50%,54%,34%,49%,52%,51%,35%,42%,39%,53%,41%,44%,47%,50%,56%,58%,42%,46%,51%,57%,50%,45%,54%,49%,48%,46%,45%,50%,47%,52%,40%,40%,41%,52%,40%,47%,43%,50%,52%,45%,49%,52%,50%,30%,64%,60%,33%,43%,51%,51%,53%,47%,44%,53%,56%,49%,46%,39%,38%,46%,48%,47%,53%,47%,56%,45%,55%,54%,52%,47%,53%,47%,44%,43%
