Q13 - What would your ideal role be?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permanent Full Time,74%,78%,74%,81%,77%,72%,79%,73%,63%,75%,64%,57%,75%,79%,77%,70%,44%,64%,78%,76%,59%,67%,80%,38%,68%,71%,74%,77%,78%,86%,19%,27%,19%,79%,69%,84%,75%,70%,66%,83%,81%,76%,66%,85%,61%,62%,74%,68%,84%,73%,77%,62%,66%,80%,80%,69%,76%,67%,68%,82%,82%,78%,77%,63%,70%,73%,77%,64%,57%,63%,68%,69%,76%,81%,79%
Part time,15%,11%,18%,8%,14%,17%,10%,11%,25%,15%,22%,25%,13%,12%,14%,21%,37%,19%,12%,15%,28%,23%,9%,29%,23%,17%,15%,12%,14%,6%,68%,16%,11%,11%,15%,7%,11%,12%,21%,9%,9%,18%,25%,7%,11%,27%,18%,14%,5%,13%,12%,27%,20%,11%,12%,19%,14%,20%,11%,8%,8%,12%,13%,24%,17%,16%,14%,22%,29%,25%,20%,20%,12%,10%,9%
Contract / Interim Part Time,2%,1%,1%,2%,1%,2%,1%,4%,4%,1%,2%,4%,2%,1%,1%,2%,3%,3%,1%,1%,3%,2%,2%,3%,3%,3%,3%,1%,1%,1%,4%,21%,4%,2%,5%,2%,2%,3%,3%,2%,1%,1%,2%,1%,4%,2%,1%,2%,1%,1%,2%,1%,2%,3%,1%,1%,1%,2%,1%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%
Contract / Interim Full Time,2%,2%,2%,3%,2%,1%,2%,3%,2%,2%,4%,4%,3%,2%,2%,1%,2%,4%,2%,2%,1%,2%,3%,2%,2%,3%,3%,3%,1%,2%,2%,24%,5%,2%,2%,3%,3%,6%,2%,2%,2%,1%,2%,2%,14%,2%,4%,5%,1%,2%,2%,2%,3%,2%,1%,3%,2%,1%,3%,3%,3%,2%,3%,2%,3%,2%,2%,2%,3%,2%,3%,2%,3%,2%,2%
