Q14 - What are the biggest challenges you face when working with colleagues from different generations?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Different communication styles,40%,41%,37%,53%,25%,36%,34%,45%,46%,47%,43%,48%,48%,41%,33%,27%,27%,49%,44%,32%,26%,39%,40%,35%,36%,38%,42%,42%,39%,41%,35%,34%,36%,42%,49%,50%,39%,30%,38%,40%,44%,33%,36%,39%,50%,31%,29%,46%,42%,36%,42%,36%,42%,45%,32%,38%,29%,37%,45%,46%,47%,38%,42%,34%,41%,38%,41%,29%,27%,34%,34%,35%,41%,45%,43%
Gaps in technology skills,35%,33%,33%,50%,25%,32%,31%,38%,29%,39%,39%,39%,41%,37%,31%,24%,25%,40%,39%,29%,24%,32%,38%,29%,31%,38%,37%,38%,35%,36%,31%,38%,34%,36%,33%,46%,37%,35%,35%,36%,39%,34%,30%,36%,48%,35%,33%,37%,30%,32%,33%,30%,33%,39%,28%,29%,30%,28%,36%,41%,42%,38%,37%,26%,35%,31%,37%,25%,26%,26%,31%,29%,39%,41%,33%
Conflicting values or priorities,35%,36%,31%,44%,22%,35%,34%,36%,37%,38%,36%,35%,38%,36%,33%,27%,26%,36%,38%,32%,26%,34%,36%,27%,30%,32%,34%,37%,34%,35%,30%,45%,31%,34%,37%,42%,33%,32%,35%,39%,37%,31%,34%,36%,32%,33%,34%,39%,36%,33%,36%,32%,33%,35%,30%,34%,27%,29%,35%,38%,41%,35%,36%,30%,34%,30%,37%,28%,30%,28%,30%,33%,38%,38%,37%
Leadership bias towards specific age groups,23%,24%,21%,43%,11%,18%,11%,26%,16%,26%,26%,33%,29%,23%,18%,12%,14%,32%,25%,17%,12%,22%,23%,16%,19%,21%,23%,26%,22%,23%,20%,19%,24%,20%,24%,34%,21%,24%,21%,19%,26%,15%,21%,23%,31%,16%,16%,19%,28%,19%,20%,20%,23%,25%,19%,22%,19%,16%,25%,30%,27%,23%,26%,16%,24%,18%,24%,13%,14%,17%,14%,18%,25%,29%,24%
