Q15 - Which of the following would help you collaborate better with colleagues from different generations?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training on communication and teamwork,46%,45%,40%,68%,24%,38%,45%,63%,62%,71%,45%,50%,55%,50%,41%,31%,28%,53%,52%,39%,29%,44%,49%,37%,37%,43%,48%,50%,45%,48%,38%,35%,42%,49%,51%,62%,50%,49%,43%,48%,50%,38%,41%,47%,52%,36%,33%,44%,35%,43%,48%,40%,48%,56%,38%,44%,36%,40%,54%,58%,55%,46%,51%,36%,44%,37%,52%,34%,31%,37%,39%,40%,50%,53%,52%
A stronger focus on shared values and goals,45%,44%,41%,64%,28%,43%,38%,60%,45%,64%,48%,50%,51%,48%,40%,33%,33%,51%,50%,39%,32%,42%,48%,32%,39%,41%,44%,50%,44%,47%,40%,42%,38%,41%,47%,56%,50%,51%,46%,45%,50%,39%,43%,47%,60%,36%,42%,40%,35%,38%,45%,41%,45%,46%,37%,42%,39%,39%,48%,54%,53%,46%,50%,35%,44%,38%,49%,35%,38%,34%,35%,40%,50%,52%,53%
Technology training for bridging skill gaps,41%,44%,38%,64%,25%,30%,29%,50%,46%,52%,41%,36%,47%,45%,37%,28%,28%,41%,46%,35%,28%,38%,43%,28%,29%,34%,39%,47%,40%,43%,32%,33%,38%,38%,38%,59%,42%,43%,38%,45%,46%,36%,34%,42%,45%,35%,32%,44%,42%,42%,42%,33%,36%,46%,32%,29%,35%,33%,42%,53%,49%,41%,45%,30%,37%,32%,46%,31%,19%,28%,33%,31%,44%,52%,44%
Reverse mentorship programmes,23%,23%,22%,37%,15%,17%,15%,23%,21%,19%,28%,27%,28%,26%,19%,11%,10%,28%,26%,18%,10%,20%,25%,16%,21%,28%,24%,27%,21%,24%,17%,27%,18%,30%,26%,32%,27%,30%,20%,22%,28%,16%,18%,21%,31%,14%,18%,32%,24%,19%,19%,19%,23%,29%,18%,19%,14%,16%,29%,35%,31%,24%,24%,12%,21%,19%,25%,12%,15%,16%,17%,17%,25%,29%,26%
