"Q1 - If you were to look for a new job, what would be the most important factors for you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please select the level of importance of why you would JOIN a new organization for each of the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pay and compensation (e.g., salary, bonus, stock options)",88%,89%,89%,90%,89%,87%,78%,87%,95%,88%,88%,85%,88%,89%,88%,89%,90%,86%,89%,89%,89%,90%,87%,83%,84%,82%,84%,87%,91%,89%,86%,76%,85%,86%,87%,90%,86%,88%,89%,88%,89%,91%,89%,90%,80%,92%,85%,88%,84%,87%,89%,89%,89%,87%,89%,88%,88%,86%,86%,89%,87%,88%,88%,90%,86%,89%,89%,90%,84%,88%,86%,88%,88%,90%,90%
Job security,88%,89%,89%,91%,86%,85%,77%,87%,93%,89%,89%,85%,88%,89%,87%,87%,87%,85%,89%,87%,86%,90%,86%,82%,86%,80%,84%,87%,90%,88%,86%,76%,77%,84%,87%,89%,88%,86%,89%,88%,87%,90%,90%,87%,79%,87%,84%,88%,85%,86%,86%,89%,88%,87%,88%,86%,85%,85%,84%,88%,87%,87%,88%,88%,85%,88%,89%,89%,84%,88%,86%,88%,87%,89%,87%
The work itself,87%,88%,90%,85%,89%,86%,77%,77%,90%,83%,88%,81%,84%,88%,87%,89%,90%,82%,87%,88%,89%,89%,84%,83%,85%,79%,83%,85%,89%,87%,87%,73%,81%,86%,85%,87%,83%,86%,88%,89%,88%,88%,88%,89%,82%,92%,85%,82%,85%,86%,85%,87%,81%,86%,86%,89%,85%,83%,84%,86%,86%,86%,86%,88%,84%,87%,87%,88%,86%,87%,85%,87%,86%,87%,87%
"Employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)",84%,88%,86%,90%,84%,72%,69%,87%,94%,89%,84%,83%,85%,86%,83%,81%,78%,83%,86%,83%,80%,86%,82%,76%,80%,78%,82%,83%,86%,85%,81%,73%,75%,77%,85%,87%,85%,88%,85%,82%,86%,83%,86%,85%,76%,77%,84%,95%,89%,82%,81%,83%,85%,86%,81%,83%,80%,79%,81%,88%,86%,83%,84%,82%,80%,83%,86%,83%,76%,85%,80%,79%,85%,87%,87%
