Q2 - When considering the below options which are would be most likely to make you stay at your current company?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please select the level of importance of why you would STAY at your current organization if this were offered for each of the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pay and compensation (e.g., salary, bonus, stock options)",88%,89%,88%,89%,87%,86%,78%,88%,93%,88%,88%,82%,88%,88%,88%,88%,88%,84%,88%,88%,88%,90%,86%,82%,84%,80%,84%,86%,90%,88%,86%,75%,82%,85%,85%,90%,87%,89%,87%,89%,87%,90%,89%,88%,78%,85%,84%,84%,89%,87%,87%,87%,90%,87%,88%,88%,86%,85%,85%,89%,88%,87%,87%,88%,84%,88%,89%,89%,87%,87%,86%,87%,87%,89%,87%
Job security,86%,88%,88%,89%,83%,84%,77%,86%,92%,87%,87%,80%,86%,88%,87%,86%,84%,82%,87%,87%,86%,88%,84%,81%,84%,82%,83%,86%,88%,87%,84%,72%,77%,82%,84%,88%,85%,86%,86%,88%,87%,89%,88%,86%,84%,85%,86%,84%,85%,84%,86%,87%,87%,85%,86%,87%,83%,82%,83%,87%,88%,86%,86%,86%,83%,86%,88%,87%,83%,87%,82%,86%,87%,87%,82%
The work itself,85%,86%,86%,84%,86%,85%,75%,82%,91%,86%,85%,80%,83%,86%,87%,88%,89%,80%,85%,87%,88%,87%,83%,82%,82%,79%,83%,84%,86%,85%,85%,71%,81%,82%,82%,87%,84%,86%,87%,85%,83%,88%,89%,86%,78%,86%,85%,82%,81%,82%,79%,84%,84%,81%,85%,86%,85%,82%,87%,86%,85%,84%,84%,86%,82%,84%,86%,85%,86%,85%,82%,85%,84%,86%,87%
"Employee benefits (e.g., healthcare , mental health and wellness services, Paid Time Off, complimentary food and services)",83%,88%,84%,88%,82%,74%,64%,84%,92%,89%,83%,80%,84%,85%,82%,79%,80%,81%,85%,81%,79%,85%,81%,74%,77%,78%,79%,83%,85%,84%,79%,69%,74%,79%,83%,88%,85%,85%,83%,87%,84%,83%,84%,83%,77%,73%,79%,84%,77%,78%,82%,80%,85%,81%,83%,87%,80%,77%,83%,88%,85%,81%,83%,80%,79%,80%,85%,81%,76%,83%,80%,79%,83%,85%,82%
