Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I feel my current skills will remain relevant in the next three years,74%,78%,75%,82%,65%,72%,49%,81%,84%,85%,76%,73%,77%,77%,70%,68%,73%,75%,78%,70%,70%,75%,74%,66%,70%,71%,74%,76%,74%,76%,70%,59%,69%,70%,77%,84%,76%,73%,75%,72%,77%,72%,76%,72%,74%,79%,64%,74%,73%,71%,73%,73%,71%,74%,70%,73%,64%,67%,79%,84%,81%,75%,75%,67%,69%,70%,78%,69%,70%,70%,67%,71%,75%,80%,80%
My organization encourages and reinforces learning and development,67%,72%,66%,85%,57%,56%,41%,79%,78%,81%,66%,70%,73%,70%,62%,55%,58%,71%,72%,60%,55%,66%,67%,56%,58%,65%,67%,70%,67%,68%,60%,57%,63%,65%,73%,83%,69%,66%,67%,71%,71%,61%,64%,64%,69%,54%,59%,60%,65%,59%,64%,63%,65%,73%,59%,63%,55%,59%,76%,81%,77%,68%,69%,55%,62%,60%,72%,59%,57%,61%,57%,57%,69%,76%,77%
I feel my company is focusing my development on the long-term goals of the company,63%,69%,58%,83%,52%,56%,39%,78%,72%,78%,60%,66%,71%,67%,57%,49%,52%,68%,69%,55%,49%,61%,65%,54%,61%,64%,64%,67%,61%,65%,55%,54%,61%,65%,69%,81%,66%,64%,58%,62%,70%,50%,57%,63%,70%,43%,55%,61%,61%,60%,71%,58%,65%,69%,55%,58%,56%,55%,78%,81%,76%,64%,65%,48%,58%,55%,69%,52%,54%,57%,53%,55%,65%,72%,71%
"I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",63%,66%,59%,82%,52%,54%,45%,78%,75%,82%,59%,68%,70%,68%,59%,44%,44%,69%,69%,56%,42%,60%,65%,54%,55%,63%,66%,68%,60%,64%,55%,59%,60%,64%,66%,78%,67%,74%,58%,59%,71%,55%,58%,62%,69%,44%,60%,70%,54%,59%,60%,58%,67%,65%,54%,60%,53%,55%,73%,77%,73%,65%,66%,49%,59%,57%,68%,49%,47%,58%,55%,53%,65%,71%,68%
