Q6 - To what extent do you agree with the following statements with regards to your workplace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I would be motivated to work harder if I only worked a 4-day week on the same salary,74%,72%,72%,83%,70%,70%,61%,81%,82%,86%,76%,76%,80%,78%,71%,61%,56%,77%,79%,69%,57%,75%,73%,65%,70%,72%,74%,77%,73%,76%,68%,65%,68%,73%,72%,82%,77%,75%,75%,76%,77%,74%,72%,72%,73%,70%,67%,74%,68%,73%,65%,71%,75%,76%,73%,74%,66%,69%,74%,80%,78%,75%,76%,69%,72%,75%,76%,64%,65%,70%,69%,71%,76%,77%,76%
I feel that the job I do reflects my values,71%,77%,69%,87%,67%,63%,45%,76%,82%,76%,71%,70%,75%,74%,69%,63%,70%,73%,75%,68%,64%,71%,72%,70%,67%,69%,73%,74%,70%,73%,66%,64%,71%,69%,69%,83%,73%,70%,77%,69%,73%,67%,78%,66%,70%,77%,59%,68%,74%,69%,72%,62%,71%,72%,62%,64%,56%,66%,83%,84%,80%,72%,71%,62%,66%,67%,76%,63%,66%,65%,62%,66%,72%,79%,81%
Connection with my colleagues is one of the most important things about my job,71%,71%,70%,85%,69%,62%,58%,77%,72%,81%,70%,72%,74%,72%,69%,64%,67%,73%,73%,68%,64%,70%,72%,58%,69%,69%,73%,74%,70%,72%,67%,60%,58%,73%,74%,81%,72%,76%,71%,70%,74%,69%,70%,69%,68%,67%,51%,68%,70%,66%,67%,68%,70%,73%,65%,67%,63%,64%,76%,82%,77%,73%,72%,62%,66%,66%,75%,64%,68%,67%,66%,64%,73%,77%,70%
My company understands the importance of the benefits that come alongside a salary,68%,75%,67%,85%,54%,61%,51%,87%,76%,91%,64%,70%,75%,72%,63%,56%,65%,72%,74%,62%,58%,66%,71%,59%,64%,63%,70%,73%,67%,70%,60%,57%,61%,67%,72%,85%,75%,68%,63%,73%,73%,60%,62%,69%,70%,62%,56%,72%,66%,65%,73%,62%,71%,75%,62%,64%,58%,62%,79%,84%,79%,70%,70%,55%,64%,59%,74%,57%,67%,63%,59%,59%,72%,76%,74%
