Q8 - To what extent do you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The values a company promotes are extremely important to me,66%,69%,64%,83%,63%,55%,35%,76%,78%,78%,64%,66%,71%,68%,63%,56%,60%,67%,70%,61%,55%,67%,65%,56%,59%,63%,68%,70%,64%,67%,61%,51%,61%,61%,67%,79%,68%,66%,68%,62%,68%,60%,67%,62%,72%,66%,49%,74%,66%,62%,60%,61%,70%,68%,56%,60%,59%,58%,74%,79%,74%,66%,67%,56%,60%,62%,70%,60%,61%,60%,58%,58%,67%,74%,74%
The ability to work flexibly and from wherever I want is critical to my work-life balance,63%,61%,61%,73%,61%,51%,43%,75%,79%,83%,63%,66%,68%,67%,60%,49%,47%,66%,68%,57%,47%,64%,62%,58%,52%,61%,63%,66%,61%,64%,57%,54%,71%,60%,72%,75%,63%,64%,60%,62%,70%,66%,57%,57%,72%,58%,62%,72%,65%,63%,59%,54%,67%,72%,50%,51%,55%,59%,72%,73%,68%,64%,63%,55%,60%,60%,66%,53%,46%,56%,57%,51%,67%,70%,70%
The ability to work flexibly and from wherever I want is critical to my mental health,61%,60%,58%,70%,61%,50%,41%,73%,78%,82%,61%,63%,67%,65%,57%,47%,41%,65%,66%,55%,44%,63%,60%,53%,51%,61%,62%,65%,59%,62%,56%,52%,67%,55%,70%,73%,60%,64%,60%,58%,67%,63%,56%,54%,70%,59%,68%,56%,69%,60%,58%,53%,68%,67%,50%,53%,57%,57%,67%,71%,67%,64%,61%,52%,59%,58%,64%,51%,43%,55%,57%,50%,64%,68%,67%
"In the last 12 months, I have joined with colleagues to influence workplace decisions",51%,53%,49%,72%,45%,43%,31%,61%,55%,59%,50%,54%,61%,55%,45%,33%,33%,58%,58%,43%,32%,48%,54%,39%,44%,51%,57%,58%,48%,54%,41%,46%,43%,54%,54%,68%,56%,47%,51%,51%,55%,47%,48%,50%,60%,42%,38%,44%,51%,45%,49%,43%,52%,56%,42%,48%,46%,40%,58%,68%,63%,55%,55%,35%,47%,47%,56%,37%,33%,43%,42%,43%,52%,62%,66%
