Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[Is your company committed to corporate social responsibility and sustainability goals?]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP 2 BOX [NET],26%,26%,23%,47%,16%,18%,8%,44%,35%,43%,23%,25%,32%,31%,22%,13%,12%,27%,32%,21%,12%,23%,30%,13%,17%,24%,28%,32%,24%,28%,16%,23%,20%,29%,29%,45%,27%,27%,23%,28%,32%,20%,18%,24%,38%,8%,14%,26%,28%,20%,30%,18%,24%,33%,21%,17%,18%,23%,41%,44%,33%,27%,29%,14%,22%,15%,33%,13%,14%,18%,18%,16%,28%,37%,37%
  (5) Far too committed,12%,12%,10%,23%,5%,6%,1%,21%,23%,21%,10%,10%,15%,14%,10%,5%,4%,12%,15%,9%,5%,10%,13%,5%,5%,9%,12%,15%,11%,13%,6%,8%,9%,13%,14%,24%,13%,16%,10%,11%,15%,7%,7%,10%,23%,5%,3%,11%,9%,7%,12%,7%,11%,14%,7%,5%,7%,11%,25%,24%,14%,10%,14%,5%,8%,4%,17%,5%,4%,8%,8%,5%,13%,18%,20%
  (4) Slightly too committed,14%,14%,13%,24%,11%,13%,7%,22%,12%,22%,13%,14%,17%,17%,12%,8%,8%,16%,17%,11%,7%,12%,16%,8%,12%,15%,17%,17%,13%,15%,10%,15%,11%,16%,15%,21%,14%,11%,14%,17%,17%,12%,11%,14%,15%,4%,11%,16%,19%,13%,18%,11%,13%,19%,14%,11%,12%,12%,16%,20%,18%,17%,15%,9%,14%,10%,16%,9%,10%,10%,10%,11%,15%,19%,18%
(3) Just the right commitment,47%,51%,53%,35%,49%,53%,56%,34%,40%,36%,49%,42%,43%,46%,50%,57%,60%,43%,45%,51%,59%,49%,46%,52%,48%,46%,46%,44%,51%,47%,51%,43%,41%,44%,51%,39%,47%,39%,48%,53%,46%,50%,51%,52%,32%,58%,64%,39%,35%,53%,47%,50%,47%,45%,53%,55%,46%,47%,39%,39%,47%,49%,46%,51%,47%,54%,46%,54%,58%,51%,47%,53%,47%,43%,44%
