Q11 - How well do you think you are compensated for your skillset?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My company gives me a salary and benefits that are below the value of my skills,35%,34%,38%,30%,46%,34%,33%,35%,31%,34%,34%,34%,33%,33%,40%,40%,31%,34%,33%,40%,35%,38%,33%,36%,35%,36%,34%,33%,37%,35%,37%,36%,36%,39%,36%,24%,31%,34%,43%,33%,33%,41%,43%,32%,30%,40%,36%,21%,41%,35%,27%,38%,38%,31%,39%,43%,38%,34%,30%,24%,29%,34%,36%,42%,38%,41%,31%,43%,36%,38%,41%,39%,33%,32%,29%
My company gives me a salary and benefits that match the value of my skills,58%,57%,56%,59%,52%,62%,60%,60%,63%,60%,60%,59%,60%,60%,55%,57%,64%,59%,60%,55%,61%,56%,60%,58%,59%,59%,61%,60%,57%,58%,58%,58%,57%,56%,57%,63%,61%,61%,53%,60%,60%,54%,53%,62%,59%,57%,62%,74%,55%,59%,69%,58%,57%,58%,56%,54%,59%,60%,56%,65%,63%,61%,57%,54%,56%,55%,61%,53%,60%,57%,54%,57%,61%,59%,56%
My company gives me a salary and benefits that exceed the value of my skills,6%,9%,6%,11%,3%,4%,7%,5%,6%,6%,7%,7%,7%,7%,6%,4%,5%,6%,8%,5%,4%,6%,7%,6%,6%,5%,5%,7%,6%,7%,5%,6%,7%,5%,7%,13%,9%,6%,4%,7%,7%,5%,4%,5%,11%,3%,3%,5%,4%,6%,4%,4%,5%,11%,5%,3%,3%,6%,14%,11%,8%,5%,7%,4%,6%,4%,7%,4%,4%,5%,5%,4%,6%,9%,14%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
