Q12 - Are you planning on leaving your current role in the next three months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No, not interested in moving",47%,47%,47%,32%,55%,49%,57%,43%,48%,47%,47%,38%,40%,45%,52%,60%,60%,39%,43%,53%,62%,48%,46%,53%,45%,41%,41%,45%,50%,47%,47%,30%,45%,48%,43%,42%,47%,44%,50%,47%,42%,55%,50%,51%,51%,44%,41%,53%,46%,43%,52%,45%,42%,36%,51%,40%,51%,54%,48%,42%,41%,43%,46%,54%,43%,48%,48%,54%,59%,52%,50%,49%,45%,45%,53%
I'm considering it and looking at options,40%,36%,41%,50%,33%,39%,34%,42%,40%,40%,41%,46%,46%,42%,38%,25%,16%,46%,43%,36%,19%,39%,40%,34%,42%,45%,45%,42%,37%,40%,39%,51%,36%,42%,44%,42%,42%,39%,38%,42%,43%,33%,39%,37%,36%,36%,47%,33%,36%,43%,39%,40%,43%,45%,37%,47%,37%,33%,31%,42%,45%,43%,40%,34%,43%,41%,38%,32%,26%,35%,37%,40%,43%,40%,29%
I'm currently applying and/or interviewing,10%,12%,9%,15%,7%,9%,5%,14%,10%,12%,10%,14%,13%,11%,8%,5%,2%,14%,12%,8%,3%,10%,10%,8%,12%,12%,10%,11%,9%,10%,10%,15%,14%,7%,11%,12%,9%,14%,9%,10%,12%,8%,8%,8%,11%,16%,5%,12%,15%,10%,7%,13%,14%,15%,7%,12%,9%,9%,17%,12%,11%,11%,10%,8%,12%,9%,10%,8%,7%,10%,9%,8%,10%,12%,12%
I'm preparing to retire,3%,5%,3%,3%,5%,3%,5%,1%,2%,1%,2%,1%,1%,2%,2%,10%,22%,1%,2%,3%,17%,3%,4%,5%,2%,2%,4%,3%,4%,3%,4%,4%,5%,3%,2%,4%,2%,4%,3%,1%,3%,4%,4%,4%,2%,5%,7%,2%,3%,3%,3%,2%,2%,5%,4%,1%,3%,4%,5%,4%,3%,3%,3%,4%,2%,2%,4%,6%,7%,4%,3%,3%,3%,4%,6%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
