Q16 - Do you feel your company allows you to switch off at the end of the day without an expectation to answer emails or calls?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, there is no expectation to answer emails or calls after I log off",48%,50%,52%,35%,51%,56%,52%,31%,47%,26%,52%,46%,45%,46%,49%,56%,58%,45%,45%,51%,57%,51%,45%,50%,47%,45%,45%,46%,51%,47%,55%,46%,39%,53%,47%,41%,44%,48%,47%,49%,50%,56%,50%,47%,37%,52%,49%,46%,43%,43%,36%,50%,49%,47%,54%,46%,49%,52%,45%,43%,39%,43%,45%,59%,50%,54%,45%,52%,56%,53%,54%,54%,45%,43%,43%
"Somewhat, I still have to answer urgent emails or calls on a case-by-case basis",39%,36%,37%,48%,34%,34%,33%,53%,41%,57%,39%,42%,44%,41%,37%,30%,30%,44%,42%,35%,30%,37%,41%,36%,39%,43%,42%,41%,37%,40%,33%,44%,44%,34%,39%,48%,44%,41%,40%,40%,39%,34%,35%,39%,45%,33%,42%,39%,41%,43%,52%,36%,40%,40%,32%,41%,38%,33%,39%,45%,49%,44%,41%,28%,37%,35%,42%,31%,33%,32%,36%,33%,43%,43%,42%
"Not at all, my company expects me to always be available and responsive",13%,14%,11%,16%,15%,10%,15%,16%,12%,17%,10%,12%,12%,14%,14%,14%,12%,11%,13%,14%,13%,13%,13%,14%,14%,12%,13%,13%,13%,13%,12%,10%,17%,12%,14%,12%,13%,12%,12%,11%,11%,11%,15%,13%,18%,15%,8%,16%,16%,14%,12%,14%,11%,12%,14%,13%,13%,15%,16%,11%,12%,13%,14%,13%,13%,11%,13%,17%,11%,14%,10%,13%,12%,14%,15%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
