Q17 - To what extent do you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My job makes good use of my skills and abilities.,76%,80%,74%,86%,74%,76%,48%,79%,82%,88%,75%,74%,79%,79%,73%,71%,74%,75%,80%,73%,71%,77%,75%,75%,75%,73%,75%,78%,75%,77%,72%,67%,72%,75%,76%,86%,78%,72%,80%,74%,77%,73%,78%,75%,73%,76%,67%,74%,69%,73%,75%,70%,77%,78%,70%,73%,67%,72%,84%,86%,82%,77%,76%,69%,70%,73%,81%,70%,74%,73%,68%,74%,76%,82%,83%
My job provides opportunities to do challenging and interesting work.,73%,77%,71%,86%,70%,72%,42%,72%,80%,74%,73%,73%,76%,75%,69%,65%,71%,74%,77%,68%,66%,73%,73%,71%,69%,68%,76%,76%,71%,74%,67%,63%,69%,71%,74%,85%,73%,70%,76%,72%,77%,69%,73%,70%,77%,73%,73%,65%,72%,72%,73%,63%,72%,75%,66%,66%,64%,66%,83%,84%,80%,74%,74%,63%,67%,70%,77%,66%,70%,68%,64%,69%,73%,80%,82%
I have good opportunities for learning and development at the company.,70%,76%,68%,85%,61%,65%,39%,77%,78%,82%,70%,72%,76%,73%,64%,57%,63%,75%,74%,62%,58%,69%,70%,59%,64%,70%,71%,73%,68%,71%,63%,59%,62%,69%,71%,84%,73%,66%,71%,70%,75%,66%,68%,65%,72%,59%,64%,63%,62%,66%,72%,62%,71%,73%,62%,63%,58%,61%,81%,84%,79%,71%,72%,57%,64%,65%,75%,59%,69%,65%,59%,62%,71%,77%,80%
The organization motivates me to do my best work.,69%,76%,66%,85%,68%,64%,33%,76%,76%,78%,69%,71%,74%,72%,64%,59%,68%,73%,73%,64%,60%,70%,69%,67%,66%,70%,72%,72%,67%,70%,67%,59%,66%,70%,74%,84%,76%,64%,71%,71%,72%,60%,66%,64%,71%,67%,71%,68%,66%,66%,73%,63%,71%,73%,60%,64%,64%,62%,83%,84%,77%,69%,71%,59%,64%,65%,74%,61%,70%,68%,59%,62%,69%,77%,77%
