"Q3 - When considering the below options, which are most likely to make you leave your current company?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please select the level of importance relating to why you would LEAVE an organization for each of the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poor pay and compensation (e.g., salary, bonus, stock options)",80%,84%,83%,77%,80%,78%,70%,80%,88%,80%,83%,74%,80%,81%,82%,81%,80%,77%,81%,82%,80%,83%,78%,78%,76%,75%,76%,80%,82%,81%,80%,68%,73%,78%,80%,82%,83%,82%,79%,82%,81%,84%,81%,81%,73%,77%,77%,79%,81%,79%,82%,82%,83%,80%,78%,84%,74%,76%,79%,81%,80%,80%,80%,81%,78%,82%,82%,83%,74%,80%,79%,81%,81%,81%,78%
The work itself,77%,79%,78%,78%,79%,73%,68%,73%,77%,79%,78%,69%,76%,78%,78%,80%,76%,71%,77%,78%,78%,80%,74%,76%,76%,70%,75%,76%,78%,77%,77%,65%,73%,77%,77%,79%,78%,78%,80%,79%,77%,77%,80%,76%,71%,76%,78%,75%,72%,75%,73%,76%,76%,76%,72%,78%,68%,73%,80%,80%,79%,77%,75%,75%,74%,76%,78%,79%,72%,74%,75%,75%,77%,80%,77%
Lack of job security,76%,80%,78%,78%,72%,73%,66%,79%,84%,76%,79%,72%,77%,78%,77%,74%,68%,73%,78%,77%,70%,79%,74%,72%,74%,73%,74%,77%,77%,77%,76%,66%,69%,77%,72%,80%,78%,80%,76%,75%,78%,76%,78%,77%,71%,70%,79%,82%,69%,72%,71%,78%,76%,76%,74%,79%,71%,73%,74%,80%,78%,76%,77%,75%,73%,76%,79%,74%,72%,76%,75%,75%,77%,78%,77%
"Inadequate employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)",74%,82%,75%,80%,72%,58%,57%,78%,85%,81%,76%,72%,75%,76%,73%,69%,66%,72%,76%,73%,67%,76%,71%,65%,73%,70%,72%,74%,74%,75%,71%,63%,65%,72%,77%,80%,78%,75%,73%,73%,76%,74%,75%,71%,66%,70%,73%,74%,78%,71%,72%,71%,79%,73%,67%,74%,66%,69%,74%,79%,76%,73%,76%,70%,70%,71%,77%,72%,61%,73%,72%,68%,74%,77%,74%
