"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[Ideal place of work]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time in office,19%,21%,17%,18%,20%,15%,36%,18%,12%,18%,18%,15%,16%,18%,21%,24%,29%,15%,17%,21%,27%,16%,22%,17%,23%,22%,18%,19%,18%,19%,19%,17%,15%,20%,14%,17%,20%,23%,19%,15%,15%,15%,20%,23%,25%,19%,10%,12%,16%,17%,16%,23%,18%,16%,23%,22%,20%,17%,15%,20%,18%,18%,19%,19%,19%,15%,19%,21%,18%,20%,22%,19%,19%,17%,19%
Full-time remote,24%,33%,25%,26%,19%,26%,15%,24%,28%,22%,22%,25%,27%,26%,22%,21%,23%,26%,26%,22%,21%,26%,23%,33%,23%,27%,26%,24%,24%,24%,24%,35%,38%,26%,27%,27%,22%,16%,23%,26%,29%,21%,22%,19%,25%,18%,26%,21%,27%,28%,23%,24%,28%,32%,22%,24%,24%,27%,33%,22%,24%,23%,24%,26%,27%,24%,23%,23%,21%,27%,24%,25%,24%,23%,26%
Hybrid work (blend of working from home and office),48%,36%,49%,48%,50%,49%,39%,51%,55%,54%,53%,49%,51%,49%,46%,42%,37%,50%,50%,46%,39%,49%,46%,35%,43%,41%,46%,49%,49%,49%,44%,35%,37%,44%,50%,50%,48%,52%,51%,55%,50%,56%,46%,48%,44%,58%,56%,58%,51%,48%,55%,40%,43%,48%,42%,44%,42%,43%,45%,52%,53%,51%,49%,42%,43%,52%,49%,45%,50%,39%,45%,43%,50%,53%,52%
Unsure,9%,11%,8%,8%,12%,10%,10%,7%,5%,6%,7%,11%,6%,8%,11%,13%,11%,9%,7%,11%,13%,9%,9%,15%,10%,10%,10%,8%,8%,8%,14%,13%,10%,10%,9%,5%,10%,9%,7%,4%,6%,8%,12%,10%,6%,5%,8%,9%,5%,7%,6%,12%,12%,4%,12%,11%,15%,13%,7%,5%,6%,7%,9%,13%,10%,9%,8%,12%,11%,14%,10%,13%,7%,7%,4%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
