QUESTION,RESPONSE,age_18-24,age_25-34,age_35-44,age_45-54,age_55-65,gender_female,gender_male,region_north,region_northeast,region_central_west,region_southeast,region_south,employment_status_full_time,employment_status_part_time,employment_status_self_employed,org_size_fewer_than_10,org_size_10_to_49,org_size_50_to_99,org_size_100_to_249,org_size_250_to_499,org_size_500_to_999,org_size_1000_or_more,sector_business_administration,sector_technology,sector_education,sector_financial_services,sector_government,sector_marketing_services,sector_retail,sector_telecommunications,sector_other,job_level_CEO,job_level_senior_executive,job_level_senior_leader,job_level_mid_level_leader,job_level_first_level_supervisor,job_level_individual_contributor,education_secondary,education_tertiary,education_undergraduate,education_postgraduate,education_doctorate
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Generous salary /bonus/ compensation,43%,41%,47%,47%,57%,48%,43%,40%,42%,38%,45%,57%,46%,42%,46%,48%,39%,38%,37%,57%,49%,48%,43%,43%,60%,45%,53%,37%,52%,57%,47%,41%,38%,41%,42%,46%,54%,42%,42%,51%,47%,29%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Flexible working hours,34%,33%,39%,45%,42%,40%,36%,29%,36%,32%,39%,42%,35%,43%,46%,41%,39%,29%,30%,36%,37%,43%,38%,32%,54%,47%,51%,40%,36%,50%,39%,39%,30%,36%,31%,38%,44%,35%,38%,39%,39%,34%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Excellent learning and development opportunities,23%,33%,34%,38%,37%,36%,32%,24%,34%,30%,35%,33%,32%,33%,39%,35%,34%,29%,21%,36%,35%,39%,28%,35%,31%,25%,22%,34%,43%,43%,38%,32%,33%,38%,29%,30%,38%,30%,26%,39%,36%,24%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Full-time remote working,12%,23%,26%,20%,22%,24%,22%,16%,22%,16%,24%,25%,22%,23%,26%,25%,17%,21%,20%,17%,23%,29%,13%,34%,22%,27%,18%,31%,22%,23%,25%,25%,21%,19%,20%,22%,26%,19%,21%,20%,26%,24%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Job is in field/industry that I like,22%,22%,21%,25%,26%,24%,22%,20%,23%,17%,23%,26%,22%,25%,23%,23%,17%,23%,21%,29%,25%,25%,15%,26%,21%,25%,33%,14%,23%,13%,23%,28%,26%,24%,22%,20%,21%,19%,18%,22%,25%,26%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Generous non-salary/bonus/compensation benefits and rewards,17%,20%,23%,25%,18%,24%,19%,18%,19%,15%,23%,24%,22%,19%,20%,18%,30%,13%,19%,21%,21%,23%,20%,16%,18%,22%,29%,9%,23%,17%,20%,18%,14%,18%,28%,24%,23%,19%,25%,23%,22%,11%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?","High job security (i.e., stable company/employer)",9%,20%,25%,21%,26%,23%,20%,11%,23%,19%,21%,26%,22%,10%,23%,22%,20%,20%,24%,16%,21%,23%,18%,24%,29%,22%,18%,20%,29%,27%,21%,24%,23%,21%,12%,26%,20%,17%,21%,20%,23%,26%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Hybrid working options,20%,17%,23%,21%,21%,22%,18%,20%,18%,17%,22%,19%,22%,19%,15%,15%,20%,18%,19%,19%,25%,27%,16%,25%,28%,24%,16%,20%,17%,23%,20%,16%,23%,24%,15%,25%,19%,11%,18%,20%,25%,18%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",To be a part of a culture and value system that I respect,12%,17%,14%,21%,21%,17%,16%,20%,16%,7%,18%,19%,16%,20%,17%,14%,14%,15%,16%,20%,18%,22%,13%,20%,13%,8%,18%,23%,23%,10%,14%,18%,18%,24%,13%,18%,13%,13%,25%,15%,17%,18%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Short commute to office,17%,11%,14%,18%,17%,15%,13%,16%,9%,22%,15%,12%,14%,18%,14%,15%,17%,9%,16%,6%,8%,18%,13%,10%,10%,18%,27%,11%,9%,7%,18%,11%,13%,12%,15%,10%,20%,13%,16%,18%,13%,13%
